,epoch,validation_error,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_learning_rate,config_num_hiddens,config_num_layers,config_dropout,config_weight_decay,st_tuner_time
91,2,0.0860039368271827,1770653147.1397922,677.147097395,1,CONTINUE,InProgress,24,0.0004572719550504,256,5,0.3759753939712186,0.0001424166157485,9560.661808305998
92,3,0.0921659469604492,1770653474.7811327,1004.7884359590008,2,STOP,InProgress,24,0.0004572719550504,256,5,0.3759753939712186,0.0001424166157485,9891.074556951
93,1,0.1746453046798706,1770653768.1963198,282.1477965190006,0,STOP,InProgress,25,0.0012586146200008,256,4,0.1672701526945777,0.0009398494093963,10181.3323579
94,1,0.1272875219583511,1770653835.9744334,59.7983030180003,0,STOP,InProgress,26,0.0038508969758615,64,3,0.2747360661765058,1.4967688715585532e-05,10251.471359762
95,1,0.0853537321090698,1770653898.851164,53.13036545000068,0,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10311.558288822998
96,2,0.0914361923933029,1770653946.776953,101.0561539420014,1,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10361.647150161
97,3,0.0695770680904388,1770653994.148095,148.42729553700156,2,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10406.727630388
98,4,0.083706647157669,1770654041.2280288,195.5072292950008,3,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10456.813067882002
99,5,0.0719501227140426,1770654088.77313,243.05233082700036,4,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10501.891829251
100,6,0.1264264285564422,1770654136.818754,291.0979545300015,5,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10551.977236083
101,7,0.0783481150865554,1770654184.6796489,338.9588494260006,6,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10597.057479336
102,8,0.0710795745253562,1770654232.8939714,387.1731721720007,7,CONTINUE,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10647.133166750998
103,9,0.1121962666511535,1770654281.0138507,435.2930513740012,8,STOP,InProgress,27,0.0008380872306714,64,2,0.4337246972347243,0.0003003183599757,10697.241297713
104,1,0.1609334945678711,1770654413.9069269,121.55661892700118,0,STOP,InProgress,28,0.0001381534180332,128,5,0.3481349542140528,2.7435162824058e-05,10827.378908309998
105,1,0.1103262305259704,1770654544.3321123,122.02116881099936,0,CONTINUE,InProgress,29,0.0003868267344412,128,5,0.2387455889830808,0.0005029677471556,10957.569078568002
106,2,0.1458291560411453,1770654654.1363518,231.82540848200009,1,CONTINUE,InProgress,29,0.0003868267344412,128,5,0.2387455889830808,0.0005029677471556,11067.699941850002
107,3,0.134699672460556,1770654765.2774038,342.9664598700001,2,STOP,InProgress,29,0.0003868267344412,128,5,0.2387455889830808,0.0005029677471556,11177.883504824
